ID,PC_note,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
66,,90,-179,44,0,-92,35,64,7,9,116,-111,0
82,,90,-26,66,124,-75,141,4,42,20,6,25,30
118,,90,-151,6,107,-95,120,160,170,19,35,13,-15
126,does not understand,90,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,not sure if understood,89,-3,-55,134,-82,42,29,-90,6,91,-95,0
12,,88,0,36,85,-60,0,18,50,11,12,1,0
30,,88,74,28,89,-96,15,36,31,41,6,10,0
21,"initially seemed to undestand, but starting constatnly turnign the dial all the way back midway",86,22,-99,113,8,-169,-15,50,-50,109,-132,17
64,,84,4,92,67,-106,0,6,82,62,55,8,0
92,,83,-170,8,135,-80,10,132,48,4,155,45,-180
97,,82,64,46,15,-44,93,7,71,10,73,32,-140
105,does not understand,81,35,-1078,86,NA,NA,NA,NA,NA,NA,NA,NA
46,,80,0,35,126,-94,151,NA,NA,NA,NA,NA,NA
23,,75,2,20,80,10,25,5,30,25,3,7,2
15,,69,6,39,5,20,10,5,25,28,4,32,0
29,,68,-58,66,122,86,41,43,10,5,46,36,4
113,"seemed to understand well in perspective instruction, but did not appear to understand during the task",65,130,106,45,171,115,35,52,20,84,15,-175
125,,61,1,23,2,29,0,8,48,15,11,32,0
102,,60,-180,33,110,-50,0,9,48,45,70,5,-180
100,may or may not have understood,49,-90,36,134,-35,62,54,-62,21,145,15,61
56,,38,41,15,75,5,27,14,66,17,17,6,-131
112,,37,0,2,5,5,0,36,10,0,55,26,-180
87,,32,-180,13,15,3,0,2,54,30,1,1,-180
91,,29,82,25,165,16,70,91,33,-73,178,-115,-155
119,,29,0,14,1,20,20,16,17,6,4,10,0
69,,21,0,10,10,17,0,2,51,30,16,-80,-180
117,,21,-10,19,2,11,104,17,48,26,7,20,0
127,,20,-166,39,24,7,12,13,9,17,16,10,6
96,,17,0,17,7,12,68,34,6,29,14,34,0
18,,16,-100,56,4,-34,132,14,21,44,74,-2,-89
52,,16,179,30,4,-108,103,4,40,1,9,-131,-175
73,,15,0,62,136,-49,0,8,5,35,42,55,-179
36,,13,-163,37,22,6,83,6,40,21,45,3,0
44,,13,-165,17,14,-75,63,22,24,16,12,7,86
123,,13,0,32,11,-82,0,11,10,11,1,-112,0
39,,12,2,3,105,-41,116,39,9,30,120,10,-180
60,,10,0,55,83,-35,9,12,40,21,85,35,0
81,,5,0,-103,-30,-106,0,109,10,1,5,-115,0
57,,4,0,27,63,45,0,5,41,30,15,5,0
17,,3,1,27,83,-121,1,17,24,1,17,14,1
33,,0,0,35,38,24,-178,72,14,12,16,7,-134
50,,1,0,31,39,25,0,31,22,13,22,41,-183
72,,2,0,15,103,6,50,33,4,1,117,3,0
122,,3,0,14,54,13,0,26,1,24,19,6,-179
14,may have used spinner lines to inform points,4,0,5,5,24,0,14,50,2,6,13,0
47,,5,0,23,19,-118,1,2,51,21,12,17,0
88,,5,0,11,28,3,0,17,1,3,8,21,0
106,,7,-180,50,71,-118,21,23,176,13,4,16,-180
43,,9,1,4,2,14,-179,2,7,5,9,34,0
51,,9,0,17,92,-67,-176,16,4,1,4,7,-179
124,,9,22,35,9,11,-168,6,43,1,2,27,-169
80,"seemed to understand perspective task excellent initially, but then fell apart, evident in change from #2 and #12",11,-180,55,124,-35,-110,150,-90,138,40,65,80
129,,12,107,2,180,-68,42,113,13,15,107,-99,44
19,,13,2,21,12,27,-156,5,5,18,0,2,0
48,got lazy later in task,17,-64,59,40,60,94,35,12,13,7,54,108
55,,23,0,68,62,16,12,7,52,41,26,23,-179
28,,24,-69,28,164,10,41,64,29,-28,173,15,-150
10,,38,1,70,5,27,0,6,41,12,3,15,0
70,,40,40,96,84,-9,119,6,42,30,4,-119,-175
5,understood,43,-155,67,6,19,35,9,51,8,13,27,-161
27,,46,24,36,6,33,2,5,39,27,1,22,32
31,,48,-12,95,51,NA,NA,NA,NA,NA,NA,NA,NA
34,,48,-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,,48,60,68,3,-18,0,85,55,42,9,-32,0
128,,51,-176,25,1,11,-179,4,55,46,15,5,-137
16,,56,84,171,19,60,119,43,144,20,10,24,15
32,,81,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"did not understand ""too hard""",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,,90,0,43,-5,NA,NA,NA,NA,NA,NA,NA,NA
99,doesn't understand,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,,95,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,,97,-175,92,82,90,151,12,131,69,73,156,-178
49,had baby w/ her (distraction?),108,-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,,126,6,41,154,-20,68,20,174,1,125,-49,-94
3,could not understand,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,did not understand,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,,160,-180,25,75,-115,13,18,51,51,28,-114,-39
121,,160,-178,-65,14,28,123,106,51,-8,34,5,0
98,understands perspective,164,44,-43,75,31,-69,121,-25,-40,2,-91,51
59,understood,170,-116,19,135,-56,112,54,11,28,72,-84,-135
90,,171,-180,-55,111,-36,120,5,75,53,26,56,1
104,does not understand,175,-76,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,,180,0,40,40,NA,NA,NA,NA,NA,NA,NA,NA
2,coached up intil #7,-4,78,29,103,-110,147,14,72,10,85,-121,-17
89,,-9,28,34,20,-101,0,2,70,28,22,21,14
45,,-14,-98,-57,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,,-20,-178,33,16,14,1,12,31,23,4,30,0
40,,-21,-50,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,,-40,-175,20,41,-90,144,16,19,16,30,42,0
35,,-49,-70,5,22,-95,0,35,32,1,43,5,-128
101,,-51,1,18,47,12,-134,-10,46,40,155,14,0
7,,-54,-59,77,66,-12,100,25,56,49,65,63,-78
115,,-58,0,90,24,-42,0,124,30,35,19,-96,0
62,,-60,-179,15,-4,-78,27,90,10,6,113,-48,-175
6,,-69,-96,28,12,12,94,24,38,1,16,32,-177
68,,-86,-143,55,165,-99,45,7,30,0,44,3,-180
120,,-88,0,45,1,-114,0,5,59,32,0,14,0
110,,-90,-180,66,116,-76,-139,13,31,13,4,12,21
4,stuck in ego,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,could not even give correct response after being shown correct response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,blind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,too scared of cheetah to participate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Did not understand perspective task, was able to show on own body how to point but couldn't translate to compass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,did not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,could not understand ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,could not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,could not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,could not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,doesn't understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,doesn't understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,doesn't understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
