location,region,lat,lon,confidence
Otjitado (Chitado),,-17.313,13.908,1
Oroundje,Oroundje,-17.061795,13.501123,2
Oroundje River,Oroundje,,,
Okombiambia,Oroundje,,,
Otjambapa,Oroundje,,,
Ongokua,Oncocua,-16.656,13.423,1
Oromatupa,Oncocua,-16.642226,13.452607,2
Otjaveripa,Oncocua,-16.644292,13.424088,3
otjiwetjamboro,Oncocua,-16.675179,13.408865,1
Otjihapa,Oncocua,,,
Otjingumange,Oncocua,,,
Otjiraokira,Oncocua,-16.732633,13.375915,2
Ompupa,Kwandu River,-16.269,13.482,1
Okano,Kwandu River,,,
Komondundu,Kwandu River,,,
Omunyendi,Kwandu River,,,
Kombamenyi,Kwandu River,,,
Kwandu River,Kwandu River,-16.269,13.482,3
Okaoroka,Okaoroka,,,
Okambenu,Okaoroka,-16.750263,13.489573,
Otjihandjavero,Otjihandjavero,-17.46,13.31,1
Otjizerawe,Otjihandjavero,,,
Otjinjau,,-16.504,13.925,1
Ombembahi,,-16.63,13.7,1
Oviruru,,,,
Erora,,-16.81816,13.277832,1
Ombero,,,,
Evarero,,,,
Eweronbungu,,,,
Karundu Kambeti,Kwandu River,,,
Ohongo,,,,
Okahende,Okahende,-16.720015,13.456013,3
ohangumbi,,-16.780999,13.778826,3
okozonguavi,,-16.767316,13.793902,3
Okakuyu,,,,
Okambundu,,,,
Okamungwando,,,,
Okanunu,,,,
Okaorundu,,,,
Okaruheke,,,,
Okomuti,,,,
Okorondondero,oroundje,-17.049789,13.500592,2
Okovipimbi,,,,
Omanduundu,,,,
Omatunda,,,,
Ombwa,,-16.667604,13.405881,2
Omurovai,,,,
Ondambo,,,,
Ongarerapori,,,,
Ongombwe,,,,
Oriara,,,,
Oroheke,,,,
Oroheke,,,,
Orongombe Tjiute,,-17.054651,13.548689,2
Orovango,,,,
Ororuma,,,,
Oruvango,,,,
Otio,,,,
Otjete,,-17.067421,13.503296,2
Otjihuro,,,,
Otjiku,,,,
Otjimikwiyu,,,,
Otjimbapa,,,,
Otjipatukiwo,,,,
Otjirambo,,,,
Otjizengo,,,,
Otjomokuyu,,,,
Otjuuku,,,,
Ovipaka,,,,
Ovinawe,,,,
otjijandjasemo,Okangwati,-17.462473,13.246697,1
Wakapanga,,,,
Ongoro (Ongorozu),Okangwati,,,
Otjihoko,Zebra Mountains,-17.364729,13.562422,2
Otjimbwende,Zebra Mountains,,,
Otjitanga River,,,,
Otjitanga,Zebra Mountains,-17.414339,13.468422,1
Otjomuru,Zebra Mountains,-17.4063056,13.4993056,1
Otjikondovirondo,Zebra Mountains,-17.402431,13.567664,1
Otjoya,Enyendi,,,
Eteongambe,,,,
Hikara,Zebra Mountains,-17.22484,13.406568,2
Okauva,Zebra Mountains,,,
Okau,Zebra Mountains,-17.3923611,13.6091667,1
Okavambi,Zebra Mountains,,,
Ombandje,Zebra Mountains,,,
Otjiahiamawe,Zebra Mountains,-17.404537,13.533862,
ozohonongo,Zebra Mountains,-17.172867,13.542687,2
otjoja,Zebra Mountains,-17.198215,13.551624,2
ondjima,Zebra Mountains,-17.203304,13.554076,2
okoutji,Zebra Mountains,-17.214925,13.557488,2
ohokeene,Zebra Mountains,-17.266912,13.582823,2
okoundundu,Zebra Mountains,-17.319791,13.630894,2
Okaoraore,Zebra Mountains,-17.386682,13.681355,1
ombandje,Zebra Mountains,-17.344535,13.657204,2
otjipango,Zebra Mountains,,,2
ouzuzu,Zebra Mountains,-17.325721,3.63769,1
Ohamaremba,Zebra Mountains,-17.4607139,13.398,1
Okotuwondo,Zebra Mountains,-17.409185,13.46722,2
Ondalele,Zebra Mountains,,,
etemba,East Zebras,-17.156066,13.569358,2
papoworme,East Zebras,-17.231373,13.662228,2
Okakumangua,East Zebras,-17.241605,13.687311,2
otjimbundu,East Zebras,-17.273817,13.747392,2
ohangonga,Otjimuhaka,-17.302624,13.78565,2
Orotumba,Otjimuhaka,-17.3417778,13.7805833,1
Otjimuhaka,Otjimuhaka,-17.3293611,13.8339722,1
Swaartboisdrift,Otjimuhaka,-17.3293611,13.8339722,1
otjimundemba,Otjimuhaka,-17.3293611,13.8339722,1
Okondjima,Otjimuhaka,,,
Okavahene,Otjimuhaka,,,
Ondozu,Otjimuhaka,,,
Epupa,Epupa,-17.0021667,13.2441667,1
Omukazeze,Epupa,-17,13.2833333,1
Orombumi,Epupa,,,
Ohayuua,Ohayuua,-17.0250556,13.3612222,1
Oronditi,Ohayuua,,,
Ororuma,Ohayuua,,,
Hikaranga,Ohayuua,,,
Okahambi,Ohayuua,,,
Onongurura,Ohayuua,-16.984057,13.376723,1
Orieheke,Ohayuua,-17.082876,13.350763,1
Okanguati,Okanguati,-17.43125,13.2724,1
Opuwo,Opuwo,-18.0539167,13.8326389,1
Okovingava,Opuwo,,,
Otjikoyo,Baynes Mountains,-17.3210556,12.9783056,1
Otjirivanga,Baynes Mountains,-17.1654444,13.0523611,1
Otjizu,Baynes Mountains,-17.2429167,13.0315833,1
Ejao,Baynes Mountains,-16.9965556,13.08825,1
Ehomba,Ehomba,-17.4963889,13.8186389,1
Ehomba Mountains,,,,
Baynes Mountains,,,,
Zebra Mountains,,,,
Otjuze,Ehomba,,,
Oviheke,Ehomba,-17.537128,13.86309,2
Okatiriro,Ehomba,,,
Oriangatu,Ehomba,-17.541731,13.880128,2
Otjinungua,Marienfluss,-17.264,12.4427222,1
Otjoze,Marienfluss,-17.4412222,12.5418056,1
Otumongo,Marienfluss,-17.23,12.4844444,1
Otupambwa,Marienfluss,-17.2163333,12.4271667,1
Onyezu,Marienfluss,-17.279841,12.444391,
Omangeti,Okanguati,,,
Oziya,Okanguati,,,
Ovitongo,Okanguati,,,
Omimire,Okanguati,,,
Ombuku,Okanguati,-17.233448,13.36657,1
Buku River,,,,
Otjombamha,,,,
Otjorunga,,,,
Otjivize,,,,
Zea,,,,
Otjikwa,Ruacana,,,
Otjovanatje,Ruacana,,,
Omombuumba,Ruacana,,,
Ombomi,Ruacana,,,
Ombarabdu,Ruacana,,,
Okozorara,Ruacana,,,
Okatjene,Ruacana,,,
Etunda,Ruacana,-17.420753,14.530735,1
Alpha,Opuwo,-18.145118,13.923622,1
Okarukoro,Opuwo,-18.132149,13.880188,2
Orokawe,Orokawe,-17.016667,12.916667,1
Baramo,,,,
Ehama,,,,
Enjendi,Enjendi,-17.134823,13.504953,2
Epembe,,-17.633,13.617,1
Etanga,Etanga,,,
Omondjazondu,Etanga,,,
Otjitombo,Etanga,,,
Okahozu,,,,
Ohunguyozongoro,Marienfluss,,,
Okongiwoyanganga,,,,
Okazokokozongodjosa,Opuwo,,,
Omatapati,Orue,,,
Ondoto,Orue,-17.35154,13.776155,1
Omavanda,,,,
Okongo,Opuwo,-17.99306,13.839422,1
Ombombo,,,,
Ongaro,,,,
Onduvakana,,,,
Orokowe,,,,
Orue,Orue,-17.440509,13.70778,1
orowe,,-17.440509,13.70778,1
Ondongwa,,,,
Kapembombu,,,,
Okambiambia,,,,
Okadorowango,,,,
Okakora,,-17.283333,12.85,1
Okandoruniye,,,,
Okaroviya,,,,
Oserundu,,,,
Okazu,,,,
Okavangala,,,,
Okondombo,,,,
Okuhama,,-17.1760667,12.9985667,1
Omangoyo,,,,
Omaramba,,-18.116518,13.884732,3
Ombahazu,,,,
Ombuhu,,,,
Ombumbu,,,,
Omohiva,,,,
Omohongodjanambari,Omohongo,-18.116518,13.884732,3
Omondaondu,,,,
Omurambawondweyzu,,,,
Ongorkuroko,,,,
Orako,,,,
Orotjite,,,,
Oromukende,,,,
Otjihangi,,,,
Otjimbundu,,,,
Otjiyangazemo,Okangwati,,,
Otju,,,,
Ovanawa,,,,
Ozemoyomuzumbra,,,,
Ozohunu,,,,
Umbuombu,,,,
Omuzenga,Orue,-17.486256,13.901024,2
Oromurunga,,,,
Otjikondaviringo,,,,
Otjipemba,,,,
Otjitenda,,,,
Otjitembi,Orue,,,
Ovinyange,,,,
Ovazemo,,,,
Ozohorongo,,,,
Otjikuturiro,Orue,,,
Otjikotu,,,,
Otjiheketjanaune,,,,
Otjea,,,,
Orovipende,,,,
Omondjazondu,Etanga,,,
Omitangunze,,,,
Okandombo,,-16.985803,13.421633,2
Okanyendi,,,,
Omatjandja,Ohandungu,,,
Okamwe,Ohandungu,,,
Ohandungu,Ohandungu,-17.766915,13.640885,1
Kondjima,,,,
Ohengana,,,,
Okatjetjete,,,,
Omatjivingo,Otjitanda,,,
Ruacana,Ruacana,-17.434674,14.386568,1
Okatjivari,,-17.20575,13.2553167,1
Etutu,,-17.3621167,13.0660667,1
Etambwe,,-17.2469833,12.9465833,1
Omarunga,,-17.2173667,13.2407667,1
Omuhandja,,-17.0453167,13.2314167,1
omukazeze,,-16.991801,13.296981,1
Omuhonga,,-17.40005,13.1554167,1
Ondendu,,-17.3312667,12.9975,1
Ongando,,-17.17235,13.1038333,1
Otjiwe,,-17.00775,12.9854167,1
Otjoviti,,-17.28855,12.9253833,1
Otjimboronbongo,,,,
Okaparara,,-17.3713667,13.0828167,1
otuavi,S of Opuwo,,,
ondjiva,Ondjiva,-17.068621,15.728256,1
oriona,West Angola,,,
onjamuane,West Angola,,,
otjiju,orokawe,-17.044927,12.895907,3
otjombapa,Red Mountain,-16.977708,13.426105,2
omiamurura,Erora,-16.703327,13.299243,2
ongukutu,Ejao,,,
ondove,S of Opuwo,,,
okorozave,s of Opuwo,,,
okoruha,,,,
okawizondondu,orokawe,,,
otjiruo,,,,
okatuo,ohayuua,-17.024842,13.355296,3
otjiheke,ongokua,-16.66448,13.438572,2
pahoauto,onongurura,-16.984644,13.386185,2
ovijere,etengua,-17.468931,13.060843,2
eayona,okanguati,,,
ombondo,,-17.163754,13.464317,2
okombungu,,-17.3712,13.819842,3
ombaporawe,,-17.187658,13.599908,3
orotjirindi,Okahende,-16.718957,13.438627,3
oheura,,,,
otjihandje,,,,
etaka,,,,
okahungu,,-18.024282,13.85047,3
ekara,,-17.524892,13.604665,3
otjitembi,,,,
ombaka,,-17.529967,13.377675,2
omangete,,-17.500971,13.38364,1
orohungu,,,,
okete,,,,
otjonbapa,,,,
otjihiahamue,,-17.404537,13.534,
ozongaku,,,,
okondjuombapa,,,,
owaandeze,,,,
otjihama,,-18.153355,13.950613,3
omuhira,,,,
komina,,,,
omuzeravati,,,,
woondu,,,,
orundu,,,,
otjivia,,,,
otjowongorora,,,,
onguma,-15.432501,,,2
ongayrera,,,,
ondjima,,-16.657758,13.437949,3
ohamaaopa,,,,
ongondjonambari,,,,
ovahendjendji,,-17.367914,13.899334,2
ozonawa,,-17.441041,14.095479,3
ovirenda,,-17.381419,14.224364,3
okodombora,,-17.055544,13.505339,2
ovirire,,-16.678581,13.421384,3
oruwa,,-16.709719,13.449601,3
ovinjange,,-17.927701,13.899912,1
ojona,,-16.736578,13.248909,2
orouuma,,-17.089614,13.361508,2
oheuva,,-17.216068,13.238733,3
kamanjab,,-19.624297,14.843216,1
orotjirindi,,-17.43125,13.2724,1
ondarere,,-17.418725,13.442026,1
otjomia,,-17.409635,13.483382,1
